directory,file,average_cost
../morze1,../morze1\Międzyzdroje.csv,4323.619512195122
../morze2,../morze2\Świnoujście.csv,4361.907488986784
../morze2_1,../morze2_1\Sopot.csv,5293.926470588235
../morze2_2,../morze2_2\Świnoujście.csv,5588.674351585015
../gory1,../gory1\Szczyrk.csv,3542.195822454308
../gory2,../gory2\Szczyrk.csv,3562.4464751958226
../gory2_1,../gory2_1\Szczyrk.csv,4056.889189189189
../gory2_2,../gory2_2\Szczyrk.csv,4271.404371584699
../mazury1,../mazury1\Mikołajki.csv,3309.0523255813955
../mazury2,../mazury2\Mikołajki.csv,3380.8362573099416
../mazury2_1,../mazury2_1\Mikołajki.csv,4481.019736842105
../mazury2_2,../mazury2_2\Mikołajki.csv,4602.120567375887
